package_name,component,application_or_service,repo,openstack_release,2018.4.0,2018.11.0,2019.2.0,2019.2.1,2019.2.2
accountsservice,,,,,,,,,
acl,,,,,,,,,
acpid,,,,,,,,,
adduser,,,,,,,,,
alembic,,,,,,,,,
amd64-microcode,,,,,,,,,
apache2,System,WebCGI,,,,,,,
apache2-bin,System,WebCGI,,,,,,,
apache2-data,System,WebCGI,,,,,,,
apache2-utils,System,WebCGI,,,,,,,
apparmor,System,Virtualization,,,,,,,
apport,,,,,,,,,
apport-symptoms,,,,,,,,,
apt,DriveTrain,Aptly,mirantis,,,,,,
apt-transport-https,DriveTrain,Aptly,mirantis,,,,,,
apt-utils,DriveTrain,Aptly,mirantis,,,,,,
archdetect-deb,,,,,,,,,
at,,,,,,,,,
attr,,,,,,,,,
augeas-lenses,,,,,,,,,
authbind,,,,,,,,,
avahi-daemon,,,,,,,,,
avahi-utils,,,,,,,,,
backupninja,,,,,,,,,
base-files,,,,,,,,,
base-passwd,,,,,,,,,
bash,System,Shell,,,,,,,
bash-completion,System,Shell,,,,,,,
bc,,,,,,,,,
bcache-tools,,,,,,,,,
bind9,,,,,,,,,
bind9-host,,,,,,,,,
bind9utils,,,,,,,,,
binutils,,,,,,,,,
bridge-utils,,,,,,,,,
bsd-mailx,,,,,,,,,
bsdmainutils,,,,,,,,,
bsdutils,,,,,,,,,
btrfs-tools,,,,,,,,,
busybox-initramfs,,,,,,,,,
busybox-static,,,,,,,,,
byobu,System,Shell,,,,,,,
bzip2,,,,,,,,,
ca-certificates,System,SSL,,,,,,,
ca-certificates-java,System,SSL,,,,,,,
ceph-base,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
ceph-common,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
ceph-mgr,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
ceph-mon,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
ceph-osd,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
cinder-common,OpenStack,Cinder,mirantis,Queens,,12.0.4-2~u16.04+mcp69,2:12.0.4-2~u16.04+mcp96 [5],,
cinder-scheduler,OpenStack,Cinder,mirantis,Queens,,12.0.4-2~u16.04+mcp69,2:12.0.4-2~u16.04+mcp96 [5],,
cinder-volume,OpenStack,Cinder,mirantis,Queens,,12.0.4-2~u16.04+mcp69,2:12.0.4-2~u16.04+mcp96 [5],,
cloud-guest-utils,,,,,,,,,
cloud-initramfs-copymods,,,,,,,,,
cloud-initramfs-dyn-netconf,,,,,,,,,
command-not-found,,,,,,,,,
command-not-found-data,,,,,,,,,
conntrack,,,,,,,,,
console-setup,,,,,,,,,
console-setup-linux,,,,,,,,,
coreutils,,,,,,,,,
cpio,,,,,,,,,
crda,,,,,,,,,
cron,,,,,,,,,
cryptsetup,,,,,,,,,
cryptsetup-bin,,,,,,,,,
curl,,,,,,,,,
curtin-common,,,,,,,,,
daemon,,,,,,,,,
dash,,,,,,,,,
dbconfig-common,,,,,,,,,
dbconfig-pgsql,,,,,,,,,
dbus,,,,,,,,,
dctrl-tools,,,,,,,,,
debconf,,,,,,,,,
debconf-i18n,,,,,,,,,
debconf-utils,,,,,,,,,
debianutils,,,,,,,,,
debootstrap,,,,,,,,,
default-jre-headless,,,,,,,,,
dh-python,,,,,,,,,
dialog,,,,,,,,,
diffutils,,,,,,,,,
distro-info,,,,,,,,,
distro-info-data,,,,,,,,,
dmeventd,,,,,,,,,
dmidecode,,,,,,,,,
dmsetup,,,,,,,,,
dns-root-data,,,,,,,,,
dnsmasq-base,System,Networking,,,,,,,
dnsmasq-utils,System,Networking,,,,,,,
dnsutils,System,Networking,,,,,,,
docker-ce,System,Docker,mirror,,,18.06.1,5:18.09.0~3-0~ubuntu-xenial,,
docutils-common,,,,,,,,,
dosfstools,,,,,,,,,
dpkg,System,Packaging,,,,,,,
dpkg-dev,System,Packaging,,,,,,,
e2fslibs,,,,,,,,,
e2fsprogs,,,,,,,,,
eatmydata,,,,,,,,,
ebtables,,,,,,,,,
ed,,,,,,,,,
eject,,,,,,,,,
elasticsearch,StackLight LMA,Elasticsearch,mirror,,,5.6.12,6.5.2,,
elasticsearch-curator,StackLight LMA,Elasticsearch,,,,,,,
erlang-asn1,System,Erlang,,,,,,,
erlang-base-hipe,System,Erlang,,,,,,,
erlang-corba,System,Erlang,,,,,,,
erlang-crypto,System,Erlang,,,,,,,
erlang-diameter,System,Erlang,,,,,,,
erlang-edoc,System,Erlang,,,,,,,
erlang-eldap,System,Erlang,,,,,,,
erlang-erl-docgen,System,Erlang,,,,,,,
erlang-eunit,System,Erlang,,,,,,,
erlang-ic,System,Erlang,,,,,,,
erlang-inets,System,Erlang,,,,,,,
erlang-mnesia,System,Erlang,,,,,,,
erlang-nox,System,Erlang,,,,,,,
erlang-odbc,System,Erlang,,,,,,,
erlang-os-mon,System,Erlang,,,,,,,
erlang-parsetools,System,Erlang,,,,,,,
erlang-public-key,System,Erlang,,,,,,,
erlang-runtime-tools,System,Erlang,,,,,,,
erlang-snmp,System,Erlang,,,,,,,
erlang-ssh,System,Erlang,,,,,,,
erlang-ssl,System,Erlang,,,,,,,
erlang-syntax-tools,System,Erlang,,,,,,,
erlang-tools,System,Erlang,,,,,,,
erlang-xmerl,System,Erlang,,,,,,,
ethtool,,,,,,,,,
extlinux,,,,,,,,,
fcgiwrap,,,,,,,,,
file,,,,,,,,,
findutils,,,,,,,,,
fontconfig,,,,,,,,,
fontconfig-config,,,,,,,,,
fonts-dejavu-core,,,,,,,,,
fonts-font-awesome,,,,,,,,,
fonts-lato,,,,,,,,,
fonts-materialdesignicons-webfont,,,,,,,,,
fonts-roboto-fontface,,,,,,,,,
fonts-ubuntu-font-family-console,,,,,,,,,
formencode-i18n,,,,,,,,,
freeipmi-common,,,,,,,,,
freeipmi-tools,,,,,,,,,
friendly-recovery,,,,,,,,,
ftp,,,,,,,,,
fuse,,,,,,,,,
galera-3,System,Galera,mirror,,,25.3.14,25.3.14,,
gawk,,,,,,,,,
gcc-5-base,System,Compilers,,,,,,,
gcc-6-base,System,Compilers,,,,,,,
gdb,,,,,,,,,
gdisk,,,,,,,,,
genisoimage,,,,,,,,,
geoip-database,,,,,,,,,
gettext-base,,,,,,,,,
gir1.2-glib-2.0,,,,,,,,,
git,System,Git,mirror,,,2.7.4,2.7.4,,
git-core,System,Git,mirror,,,2.7.4,2.7.4,,
git-man,System,Git,mirror,,,2.7.4,2.7.4,,
glance,OpenStack,Glance,mirantis,Queens,,16.0.1-2~u16.04+mcp21,2:16.0.1-2~u16.04+mcp23,,
glance-api,OpenStack,Glance,mirantis,Queens,,16.0.1-2~u16.04+mcp21,2:16.0.1-2~u16.04+mcp23,,
glance-common,OpenStack,Glance,mirantis,Queens,,16.0.1-2~u16.04+mcp21,2:16.0.1-2~u16.04+mcp23,,
glance-registry,OpenStack,Glance,mirantis,Queens,,16.0.1-2~u16.04+mcp21,2:16.0.1-2~u16.04+mcp23,,
glance-store-common,OpenStack,Glance,,,,,,,
glusterfs-client,System,GlusterFS,mirror,,,3.8.15,3.8.15,,
glusterfs-common,System,GlusterFS,mirror,,,3.8.15,3.8.15,,
glusterfs-server,System,GlusterFS,mirror,,,3.8.15,3.8.15,,
gnupg,,,,,,,,,
gpgv,,,,,,,,,
grep,,,,,,,,,
groff-base,,,,,,,,,
grub-common,,,,,,,,,
grub-gfxpayload-lists,,,,,,,,,
grub-legacy-ec2,,,,,,,,,
grub-pc,,,,,,,,,
grub-pc-bin,,,,,,,,,
grub2-common,,,,,,,,,
gzip,,,,,,,,,
haproxy,System,HAProxy,mirror,,,1.6.3,1.6.3,,
haveged,,,,,,,,,
hdparm,,,,,,,,,
heat-api,OpenStack,Heat,mirantis,Queens,,10.0.2-1.0~u16.04+mcp37,1:10.0.2-1.0~u16.04+mcp54 [5],,
heat-api-cfn,OpenStack,Heat,mirantis,Queens,,10.0.2-1.0~u16.04+mcp37,1:10.0.2-1.0~u16.04+mcp54 [5],,
heat-common,OpenStack,Heat,mirantis,Queens,,10.0.2-1.0~u16.04+mcp37,1:10.0.2-1.0~u16.04+mcp54 [5],,
heat-engine,OpenStack,Heat,mirantis,Queens,,10.0.2-1.0~u16.04+mcp37,1:10.0.2-1.0~u16.04+mcp54 [5],,
hostname,,,,,,,,,
htop,,,,,,,,,
ieee-data,,,,,,,,,
ifenslave,,,,,,,,,
ifenslave-2.6,,,,,,,,,
ifupdown,,,,,,,,,
info,,,,,,,,,
init,,,,,,,,,
init-system-helpers,,,,,,,,,
initramfs-tools,,,,,,,,,
initramfs-tools-bin,,,,,,,,,
initramfs-tools-core,,,,,,,,,
initscripts,,,,,,,,,
insserv,,,,,,,,,
install-info,,,,,,,,,
intel-microcode,,,,,,,,,
iperf,,,,,,,,,
iperf3,,,,,,,,,
ipmitool,,,,,,,,,
iproute2,,,,,,,,,
ipset,,,,,,,,,
iptables,System,Firewall,,,,,,,
iptables-persistent,System,Firewall,,,,,,,
iputils-arping,,,,,,,,,
iputils-ping,,,,,,,,,
iputils-tracepath,,,,,,,,,
ipxe-qemu,,,,,,,,,
ipxe-qemu-256k-compat-efi-roms,,,,,,,,,
irqbalance,,,,,,,,,
isc-dhcp-client,,,,,,,,,
isc-dhcp-common,,,,,,,,,
isc-dhcp-server,,,,,,,,,
isdct,,,,,,,,,
iso-codes,,,,,,,,,
iucode-tool,,,,,,,,,
iw,,,,,,,,,
java-common,,,,,,,,,
javascript-common,,,,,,,,,
jeepyb,,,,,,,,,
jenkins,,,,,,,,,
jq,,,,,,,,,
kbd,,,,,,,,,
keepalived,,,,,,,,,
keyboard-configuration,,,,,,,,,
keystone,OpenStack,Keystone,mirantis,Queens,,13.0.1-3~u16.04+mcp18,2:13.0.2-3~u16.04+mcp15,,
kibana,StackLight LMA,Kibana,mirror,,,5.6.12,6.5.2,,
klibc-utils,,,,,,,,,
kmod,,,,,,,,,
kpartx,,,,,,,,,
krb5-locales,,,,,,,,,
language-selector-common,,,,,,,,,
ldap-utils,,,,,,,,,
ledmon,,,,,,,,,
less,,,,,,,,,
libaccountsservice0,,,,,,,,,
libacl1,,,,,,,,,
libacl1-dev,,,,,,,,,
libaio1,,,,,,,,,
libapache2-mod-wsgi,,,,,,,,,
libapparmor-perl,System,Virtualization,,,,,,,
libapparmor1,System,Virtualization,,,,,,,
libapr1,,,,,,,,,
libaprutil1,,,,,,,,,
libaprutil1-dbd-sqlite3,,,,,,,,,
libaprutil1-ldap,,,,,,,,,
libapt-inst2.0,,,,,,,,,
libapt-pkg5.0,,,,,,,,,
libasn1-8-heimdal,,,,,,,,,
libasound2,,,,,,,,,
libasound2-data,,,,,,,,,
libasprintf0v5,,,,,,,,,
libasyncns0,,,,,,,,,
libatk1.0-0,,,,,,,,,
libatk1.0-data,,,,,,,,,
libatm1,,,,,,,,,
libattr1,,,,,,,,,
libattr1-dev,,,,,,,,,
libaudit-common,,,,,,,,,
libaudit1,,,,,,,,,
libaugeas0,,,,,,,,,
libavahi-client3,,,,,,,,,
libavahi-common-data,,,,,,,,,
libavahi-common3,,,,,,,,,
libavahi-core7,,,,,,,,,
libbabeltrace-ctf1,,,,,,,,,
libbabeltrace1,,,,,,,,,
libbind9-140,,,,,,,,,
libblas-common,,,,,,,,,
libblas3,,,,,,,,,
libblkid1,,,,,,,,,
libbluetooth3,,,,,,,,,
libboost-filesystem1.58.0,,,,,,,,,
libboost-iostreams1.58.0,,,,,,,,,
libboost-program-options1.58.0,,,,,,,,,
libboost-random1.58.0,,,,,,,,,
libboost-system1.58.0,,,,,,,,,
libboost-thread1.58.0,,,,,,,,,
libbrlapi0.6,,,,,,,,,
libbsd0,,,,,,,,,
libbz2-1.0,,,,,,,,,
libc-bin,,,,,,,,,
libc-dev-bin,,,,,,,,,
libc6,,,,,,,,,
libc6-dev,,,,,,,,,
libcaca0,,,,,,,,,
libcacard0,,,,,,,,,
libcairo2,,,,,,,,,
libcap-ng0,,,,,,,,,
libcap2,,,,,,,,,
libcap2-bin,,,,,,,,,
libcephfs2,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
libcomerr2,,,,,,,,,
libconfig-general-perl,,,,,,,,,
libcryptsetup4,,,,,,,,,
libcups2,,,,,,,,,
libcurl3,,,,,,,,,
libcurl3-gnutls,,,,,,,,,
libdaemon0,,,,,,,,,
libdatrie1,,,,,,,,,
libdb5.3,,,,,,,,,
libdbd-mysql,,,,,,,,,
libdbd-mysql-perl,,,,,,,,,
libdbi-perl,,,,,,,,,
libdbi1,,,,,,,,,
libdbus-1-3,,,,,,,,,
libdbus-glib-1-2,,,,,,,,,
libdebconfclient0,,,,,,,,,
libdebian-installer4,,,,,,,,,
libdevmapper-event1.02.1,,,,,,,,,
libdevmapper1.02.1,,,,,,,,,
libdns-export162,,,,,,,,,
libdns162,,,,,,,,,
libdpkg-perl,,,,,,,,,
libdrm-amdgpu1,,,,,,,,,
libdrm-common,,,,,,,,,
libdrm-intel1,,,,,,,,,
libdrm-nouveau2,,,,,,,,,
libdrm-radeon1,,,,,,,,,
libdrm2,,,,,,,,,
libdumbnet1,,,,,,,,,
libeatmydata1,,,,,,,,,
libecap3,,,,,,,,,
libedit2,,,,,,,,,
libelf1,,,,,,,,,
liberror-perl,,,,,,,,,
libestr0,,,,,,,,,
libev4,,,,,,,,,
libevent-2.0-5,,,,,,,,,
libexpat1,,,,,,,,,
libfcgi0ldbl,,,,,,,,,
libfdisk1,,,,,,,,,
libfdt1,,,,,,,,,
libffi6,,,,,,,,,
libflac8,,,,,,,,,
libfontconfig1,,,,,,,,,
libfreeipmi16,,,,,,,,,
libfreetype6,,,,,,,,,
libfribidi0,,,,,,,,,
libfuse2,,,,,,,,,
libgcc1,,,,,,,,,
libgcrypt20,,,,,,,,,
libgd3,,,,,,,,,
libgdbm3,,,,,,,,,
libgdk-pixbuf2.0-0,,,,,,,,,
libgdk-pixbuf2.0-common,,,,,,,,,
libgeoip1,,,,,,,,,
libgfortran3,,,,,,,,,
libgif7,,,,,,,,,
libgirepository-1.0-1,,,,,,,,,
libgl1-mesa-dri,,,,,,,,,
libgl1-mesa-glx,,,,,,,,,
libglapi-mesa,,,,,,,,,
libglib2.0-0,,,,,,,,,
libglib2.0-data,,,,,,,,,
libgmp10,,,,,,,,,
libgnutls-openssl27,,,,,,,,,
libgnutls30,,,,,,,,,
libgoogle-perftools4,,,,,,,,,
libgpg-error0,,,,,,,,,
libgpm2,,,,,,,,,
libgraphite2-3,,,,,,,,,
libgssapi-krb5-2,,,,,,,,,
libgssapi3-heimdal,,,,,,,,,
libgtk2.0-0,,,,,,,,,
libgtk2.0-common,,,,,,,,,
libguestfs0,,,,,,,,,
libharfbuzz0b,,,,,,,,,
libhavege1,,,,,,,,,
libhcrypto4-heimdal,,,,,,,,,
libheimbase1-heimdal,,,,,,,,,
libheimntlm0-heimdal,,,,,,,,,
libhivex0,,,,,,,,,
libhogweed4,,,,,,,,,
libhx509-5-heimdal,,,,,,,,,
libibverbs1,,,,,,,,,
libicu55,,,,,,,,,
libidn11,,,,,,,,,
libiperf0,,,,,,,,,
libipmiconsole2,,,,,,,,,
libipmidetect0,,,,,,,,,
libipset3,,,,,,,,,
libirs-export141,,,,,,,,,
libirs141,,,,,,,,,
libisc-export160,,,,,,,,,
libisc160,,,,,,,,,
libisccc140,,,,,,,,,
libisccfg-export140,,,,,,,,,
libisccfg140,,,,,,,,,
libiscsi2,,,,,,,,,
libjansson4,,,,,,,,,
libjbig0,,,,,,,,,
libjpeg-turbo8,,,,,,,,,
libjpeg8,,,,,,,,,
libjs-angular-file-upload,System,Web,,,,,,,
libjs-angular-gettext,System,Web,,,,,,,
libjs-angularjs,System,Web,,,,,,,
libjs-angularjs-smart-table,System,Web,,,,,,,
libjs-bootswatch,System,Web,,,,,,,
libjs-d3,System,Web,,,,,,,
libjs-jquery,System,Web,,,,,,,
libjs-jquery-cookie,System,Web,,,,,,,
libjs-jquery-metadata,System,Web,,,,,,,
libjs-jquery-tablesorter,System,Web,,,,,,,
libjs-jquery-ui,System,Web,,,,,,,
libjs-jquery.quicksearch,System,Web,,,,,,,
libjs-jsencrypt,System,Web,,,,,,,
libjs-lrdragndrop,System,Web,,,,,,,
libjs-magic-search,System,Web,,,,,,,
libjs-modernizr,System,Web,,,,,,,
libjs-rickshaw,System,Web,,,,,,,
libjs-sphinxdoc,System,Web,,,,,,,
libjs-spin.js,System,Web,,,,,,,
libjs-swfobject,System,Web,,,,,,,
libjs-term.js,System,Web,,,,,,,
libjs-twitter-bootstrap,System,Web,,,,,,,
libjs-twitter-bootstrap-datepicker,System,Web,,,,,,,
libjs-underscore,System,Web,,,,,,,
libjs-yui3-common,System,Web,,,,,,,
libjs-yui3-full,System,Web,,,,,,,
libjs-yui3-min,System,Web,,,,,,,
libjson-c2,,,,,,,,,
libk5crypto3,,,,,,,,,
libkeyutils1,,,,,,,,,
libklibc,,,,,,,,,
libkmod2,,,,,,,,,
libkrb5-26-heimdal,,,,,,,,,
libkrb5-3,,,,,,,,,
libkrb5support0,,,,,,,,,
liblapack3,,,,,,,,,
liblcms2-2,,,,,,,,,
libldap-2.4-2,,,,,,,,,
libleveldb1v5,,,,,,,,,
libllvm6.0,,,,,,,,,
liblocale-gettext-perl,,,,,,,,,
liblockfile-bin,,,,,,,,,
liblockfile1,,,,,,,,,
libltdl7,,,,,,,,,
liblttng-ust-ctl2,,,,,,,,,
liblttng-ust0,,,,,,,,,
liblua5.1-0,,,,,,,,,
liblua5.2-0,,,,,,,,,
liblua5.3-0,,,,,,,,,
liblvm2app2.2,,,,,,,,,
liblvm2cmd2.02,,,,,,,,,
liblwres141,,,,,,,,,
liblxc1,,,,,,,,,
liblz4-1,,,,,,,,,
liblzma5,,,,,,,,,
liblzo2-2,,,,,,,,,
libmagic1,,,,,,,,,
libmnl0,,,,,,,,,
libmount1,,,,,,,,,
libmpdec2,,,,,,,,,
libmpfr4,,,,,,,,,
libmspack0,,,,,,,,,
libmysqlclient-dev,,,,,,,,,
libmysqlclient20,,,,,,,,,
libncurses5,,,,,,,,,
libncursesw5,,,,,,,,,
libnetcf1,,,,,,,,,
libnetfilter-conntrack3,,,,,,,,,
libnettle6,,,,,,,,,
libnewt0.52,,,,,,,,,
libnfnetlink0,,,,,,,,,
libnih1,,,,,,,,,
libnl-3-200,,,,,,,,,
libnl-genl-3-200,,,,,,,,,
libnl-route-3-200,,,,,,,,,
libnspr4,,,,,,,,,
libnss3,,,,,,,,,
libnss3-nssdb,,,,,,,,,
libnuma1,,,,,,,,,
libodbc1,,,,,,,,,
libogg0,,,,,,,,,
libonig2,,,,,,,,,
libopenipmi0,,,,,,,,,
libopts25,,,,,,,,,
libopus0,,,,,,,,,
libp11-kit0,,,,,,,,,
libpam-modules,,,,,,,,,
libpam-modules-bin,,,,,,,,,
libpam-runtime,,,,,,,,,
libpam-systemd,,,,,,,,,
libpam0g,,,,,,,,,
libpango-1.0-0,,,,,,,,,
libpangocairo-1.0-0,,,,,,,,,
libpangoft2-1.0-0,,,,,,,,,
libparted2,,,,,,,,,
libpcap0.8,,,,,,,,,
libpci3,,,,,,,,,
libpciaccess0,,,,,,,,,
libpcre3,,,,,,,,,
libpcrecpp0v5,,,,,,,,,
libpcsclite1,,,,,,,,,
libperl5.22,,,,,,,,,
libpipeline1,,,,,,,,,
libpixman-1-0,,,,,,,,,
libplymouth4,,,,,,,,,
libpng12-0,,,,,,,,,
libpolkit-agent-1-0,,,,,,,,,
libpolkit-backend-1-0,,,,,,,,,
libpolkit-gobject-1-0,,,,,,,,,
libpopt0,,,,,,,,,
libpq5,,,,,,,,,
libprocps4,,,,,,,,,
libpulse0,,,,,,,,,
libpython-stdlib,System,Python,,,,,,,
libpython2.7,System,Python,,,,,,,
libpython2.7-minimal,System,Python,,,,,,,
libpython2.7-stdlib,System,Python,,,,,,,
libpython3-stdlib,System,Python,,,,,,,
libpython3.5,System,Python,,,,,,,
libpython3.5-minimal,System,Python,,,,,,,
libpython3.5-stdlib,System,Python,,,,,,,
libquadmath0,,,,,,,,,
librados2,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
libradosstriper1,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
librbd1,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
librdmacm1,,,,,,,,,
libreadline5,,,,,,,,,
libreadline6,,,,,,,,,
librgw2,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
libroken18-heimdal,,,,,,,,,
librtmp1,,,,,,,,,
libruby2.3,,,,,,,,,
libsasl2-2,,,,,,,,,
libsasl2-modules,,,,,,,,,
libsasl2-modules-db,,,,,,,,,
libsdl1.2debian,,,,,,,,,
libseccomp2,,,,,,,,,
libselinux1,,,,,,,,,
libsemanage-common,,,,,,,,,
libsemanage1,,,,,,,,,
libsensors4,,,,,,,,,
libsepol1,,,,,,,,,
libsgutils2-2,,,,,,,,,
libsigsegv2,,,,,,,,,
libslang2,,,,,,,,,
libsmartcols1,,,,,,,,,
libsnappy1v5,,,,,,,,,
libsndfile1,,,,,,,,,
libsnmp-base,,,,,,,,,
libsnmp30,,,,,,,,,
libsodium18,,,,,,,,,
libspice-server1,,,,,,,,,
libsqlite3-0,,,,,,,,,
libss2,,,,,,,,,
libssh2-1,,,,,,,,,
libssl1.0.0,,,,,,,,,
libstdc++6,,,,,,,,,
libsubunit-perl,,,,,,,,,
libsysfs2,,,,,,,,,
libsystemd0,,,,,,,,,
libtasn1-6,,,,,,,,,
libtcl8.6,,,,,,,,,
libtcmalloc-minimal4,,,,,,,,,
libtext-charwidth-perl,,,,,,,,,
libtext-iconv-perl,,,,,,,,,
libtext-wrapi18n-perl,,,,,,,,,
libthai-data,,,,,,,,,
libthai0,,,,,,,,,
libtiff5,,,,,,,,,
libtinfo5,,,,,,,,,
libudev1,,,,,,,,,
libunwind8,,,,,,,,,
liburcu4,,,,,,,,,
libusb-0.1-4,,,,,,,,,
libusb-1.0-0,,,,,,,,,
libusbredirparser1,,,,,,,,,
libustr-1.0-1,,,,,,,,,
libutempter0,,,,,,,,,
libuuid1,,,,,,,,,
libv8-3.14.5,,,,,,,,,
libvirt-bin,Hypervisors,libvirt,mirantis,,,4.0.0-1.7~u16.04+mcp3,4.0.0-1.8.5~u16.04+mcp1,,
libvirt-clients,Hypervisors,libvirt,mirantis,,,4.0.0-1.7~u16.04+mcp3,4.0.0-1.8.5~u16.04+mcp1,,
